5753,"GULLUK",13056,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-19 09:45"
5753,"GULLUK",13056,"DISORMEGGIO PER PARTENZA",23,"2018-03-21 17:30"
5753,"GULLUK",13056,"NAVE FUORI VISTA",26,"2018-03-21 17:57"
5753,"GULLUK",13056,"NAVE IN ENTRATA",14,"2018-03-19 11:30"
5753,"GULLUK",13056,"ORMEGGIO NAVE",17,"2018-03-19 12:25"
5768,"MERMERDELEN",14479,"ANCORAGGIO IN RADA",16,"2018-03-16 08:20"
5768,"MERMERDELEN",14479,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-16 07:20"
5768,"MERMERDELEN",14479,"DA RADA A ORMEGGIO",20,"2018-03-20 10:40"
5768,"MERMERDELEN",14479,"DISORMEGGIO PER PARTENZA",23,"2018-03-22 13:49"
5768,"MERMERDELEN",14479,"NAVE FUORI VISTA",26,"2018-03-22 14:30"
5776,"HITRA",13677,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-19 15:54"
5776,"HITRA",13677,"DISORMEGGIO PER PARTENZA",23,"2018-03-20 10:30"
5776,"HITRA",13677,"NAVE FUORI VISTA",26,"2018-03-20 11:10"
5776,"HITRA",13677,"NAVE IN ENTRATA",14,"2018-03-19 16:40"
5776,"HITRA",13677,"ORMEGGIO NAVE",17,"2018-03-19 17:55"
5787,"SYN ACRAB",13943,"ANCORAGGIO IN RADA",16,"2018-03-19 22:12"
5787,"SYN ACRAB",13943,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-19 21:42"
5787,"SYN ACRAB",13943,"DA RADA A ORMEGGIO",20,"2018-03-20 14:15"
5787,"SYN ACRAB",13943,"DISORMEGGIO PER PARTENZA",23,"2018-03-21 19:36"
5787,"SYN ACRAB",13943,"NAVE FUORI VISTA",26,"2018-03-21 20:05"
5788,"GAZ EXPLORER",14526,"ANCORAGGIO IN RADA",16,"2018-03-20 01:36"
5788,"GAZ EXPLORER",14526,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-20 01:36"
5788,"GAZ EXPLORER",14526,"DA RADA A ORMEGGIO",20,"2018-03-21 21:00"
5788,"GAZ EXPLORER",14526,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 01:10"
5788,"GAZ EXPLORER",14526,"NAVE FUORI VISTA",26,"2018-03-23 01:48"
5789,"NURI SONAY",14525,"ANCORAGGIO IN RADA",16,"2018-03-20 05:20"
5789,"NURI SONAY",14525,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-20 05:00"
5789,"NURI SONAY",14525,"DA RADA A ORMEGGIO",20,"2018-03-20 20:45"
5789,"NURI SONAY",14525,"DISORMEGGIO PER PARTENZA",23,"2018-03-22 07:40"
5789,"NURI SONAY",14525,"NAVE FUORI VISTA",26,"2018-03-22 08:45"
5790,"LUCA IEVOLI",10712,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-20 05:48"
5790,"LUCA IEVOLI",10712,"DA ORMEGGIO A ORMEGGIO",18,"2018-03-21 11:25"
5790,"LUCA IEVOLI",10712,"DISORMEGGIO PER PARTENZA",23,"2018-03-22 10:42"
5790,"LUCA IEVOLI",10712,"NAVE FUORI VISTA",26,"2018-03-22 11:15"
5790,"LUCA IEVOLI",10712,"NAVE IN ENTRATA",14,"2018-03-20 06:50"
5790,"LUCA IEVOLI",10712,"ORMEGGIO NAVE",17,"2018-03-20 07:42"
5791,"IEVOLI BLUE",10100,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-19 23:00"
5791,"IEVOLI BLUE",10100,"DISORMEGGIO PER PARTENZA",23,"2018-03-20 19:00"
5791,"IEVOLI BLUE",10100,"NAVE FUORI VISTA",26,"2018-03-20 19:15"
5791,"IEVOLI BLUE",10100,"NAVE IN ENTRATA",14,"2018-03-19 23:10"
5791,"IEVOLI BLUE",10100,"ORMEGGIO NAVE",17,"2018-03-19 23:30"
5792,"ERDOGAN SENKAYA",14531,"ANCORAGGIO IN RADA",16,"2018-03-19 20:50"
5792,"ERDOGAN SENKAYA",14531,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-19 20:50"
5792,"ERDOGAN SENKAYA",14531,"DA RADA A ORMEGGIO",20,"2018-03-21 06:45"
5792,"ERDOGAN SENKAYA",14531,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 06:40"
5792,"ERDOGAN SENKAYA",14531,"NAVE FUORI VISTA",26,"2018-03-23 07:40"
5793,"SIDER MOON",8748,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-20 07:00"
5793,"SIDER MOON",8748,"DISORMEGGIO PER PARTENZA",23,"2018-03-22 06:42"
5793,"SIDER MOON",8748,"NAVE FUORI VISTA",26,"2018-03-22 07:30"
5793,"SIDER MOON",8748,"NAVE IN ENTRATA",14,"2018-03-20 07:40"
5793,"SIDER MOON",8748,"ORMEGGIO NAVE",17,"2018-03-20 08:30"
5794,"LOUISE BORCHARD",13106,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-20 07:12"
5794,"LOUISE BORCHARD",13106,"DISORMEGGIO PER PARTENZA",23,"2018-03-21 01:50"
5794,"LOUISE BORCHARD",13106,"NAVE FUORI VISTA",26,"2018-03-21 02:25"
5794,"LOUISE BORCHARD",13106,"NAVE IN ENTRATA",14,"2018-03-20 07:50"
5794,"LOUISE BORCHARD",13106,"ORMEGGIO NAVE",17,"2018-03-20 09:20"
5796,"EUROCARGO SICILIA",10955,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-20 08:55"
5796,"EUROCARGO SICILIA",10955,"DISORMEGGIO PER PARTENZA",23,"2018-03-20 20:00"
5796,"EUROCARGO SICILIA",10955,"NAVE FUORI VISTA",26,"2018-03-20 20:30"
5796,"EUROCARGO SICILIA",10955,"NAVE IN ENTRATA",14,"2018-03-20 09:05"
5796,"EUROCARGO SICILIA",10955,"ORMEGGIO NAVE",17,"2018-03-20 09:45"
5824,"PAGONA",14532,"ANCORAGGIO IN RADA",16,"2018-03-21 06:45"
5824,"PAGONA",14532,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-21 04:45"
5824,"PAGONA",14532,"DA ORMEGGIO A ORMEGGIO",18,"2018-03-22 11:10"
5824,"PAGONA",14532,"DA RADA A ORMEGGIO",20,"2018-03-21 11:20"
5824,"PAGONA",14532,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 13:10"
5824,"PAGONA",14532,"NAVE FUORI VISTA",26,"2018-03-23 14:15"
5825,"SANTA PAWLINA",13245,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-21 06:00"
5825,"SANTA PAWLINA",13245,"DISORMEGGIO PER PARTENZA",23,"2018-03-22 07:45"
5825,"SANTA PAWLINA",13245,"NAVE FUORI VISTA",26,"2018-03-22 08:05"
5825,"SANTA PAWLINA",13245,"NAVE IN ENTRATA",14,"2018-03-21 07:15"
5825,"SANTA PAWLINA",13245,"ORMEGGIO NAVE",17,"2018-03-21 08:00"
5826,"HITRA",13677,"ANCORAGGIO IN RADA",16,"2018-03-20 23:36"
5826,"HITRA",13677,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-20 23:24"
5826,"HITRA",13677,"DA RADA A ORMEGGIO",20,"2018-03-24 07:50"
5826,"HITRA",13677,"DISORMEGGIO PER PARTENZA",23,"2018-03-25 10:50"
5826,"HITRA",13677,"NAVE FUORI VISTA",26,"2018-03-25 11:15"
5827,"BRODOSPAS BETA",13730,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-21 07:30"
5827,"BRODOSPAS BETA",13730,"DA ORMEGGIO A ORMEGGIO",18,"2018-03-21 11:05"
5827,"BRODOSPAS BETA",13730,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 19:25"
5827,"BRODOSPAS BETA",13730,"NAVE FUORI VISTA",26,"2018-03-23 19:50"
5827,"BRODOSPAS BETA",13730,"NAVE IN ENTRATA",14,"2018-03-21 07:35"
5827,"BRODOSPAS BETA",13730,"ORMEGGIO NAVE",17,"2018-03-21 08:00"
5828,"VOS CHABLIS",14270,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-21 08:00"
5828,"VOS CHABLIS",14270,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 17:05"
5828,"VOS CHABLIS",14270,"NAVE FUORI VISTA",26,"2018-03-23 17:30"
5828,"VOS CHABLIS",14270,"NAVE IN ENTRATA",14,"2018-03-21 08:15"
5828,"VOS CHABLIS",14270,"ORMEGGIO NAVE",17,"2018-03-21 08:40"
5831,"BURHAN DIZMAN 2",14385,"ANCORAGGIO IN RADA",16,"2018-03-21 09:15"
5831,"BURHAN DIZMAN 2",14385,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-21 08:55"
5831,"BURHAN DIZMAN 2",14385,"DA RADA A ORMEGGIO",20,"2018-03-23 08:00"
5831,"BURHAN DIZMAN 2",14385,"DISORMEGGIO PER PARTENZA",23,"2018-03-24 11:10"
5831,"BURHAN DIZMAN 2",14385,"NAVE FUORI VISTA",26,"2018-03-24 11:45"
5869,"SIDER MILOS",13042,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 06:30"
5869,"SIDER MILOS",13042,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 06:55"
5869,"SIDER MILOS",13042,"NAVE FUORI VISTA",26,"2018-03-23 07:35"
5869,"SIDER MILOS",13042,"NAVE IN ENTRATA",14,"2018-03-22 06:50"
5869,"SIDER MILOS",13042,"ORMEGGIO NAVE",17,"2018-03-22 07:50"
5870,"ALECTO",14540,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 05:00"
5870,"ALECTO",14540,"DISORMEGGIO PER PARTENZA",23,"2018-03-24 18:47"
5870,"ALECTO",14540,"NAVE FUORI VISTA",26,"2018-03-24 19:15"
5870,"ALECTO",14540,"NAVE IN ENTRATA",14,"2018-03-22 07:00"
5870,"ALECTO",14540,"ORMEGGIO NAVE",17,"2018-03-22 08:00"
5871,"SIDER VENUS",8419,"ANCORAGGIO IN RADA",16,"2018-03-22 05:10"
5871,"SIDER VENUS",8419,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 04:30"
5871,"SIDER VENUS",8419,"DA RADA A ORMEGGIO",20,"2018-03-25 19:25"
5871,"SIDER VENUS",8419,"DISORMEGGIO PER PARTENZA",23,"2018-03-27 14:20"
5871,"SIDER VENUS",8419,"NAVE FUORI VISTA",26,"2018-03-27 15:45"
5892,"WILSON SUND",14541,"ANCORAGGIO IN RADA",16,"2018-03-22 12:30"
5892,"WILSON SUND",14541,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 12:30"
5892,"WILSON SUND",14541,"DA ORMEGGIO A ORMEGGIO",18,"2018-03-26 11:40"
5892,"WILSON SUND",14541,"DA RADA A ORMEGGIO",20,"2018-03-23 15:45"
5892,"WILSON SUND",14541,"DISORMEGGIO PER PARTENZA",23,"2018-03-28 15:25"
5892,"WILSON SUND",14541,"NAVE FUORI VISTA",26,"2018-03-28 15:55"
5893,"EUROCARGO CATANIA",11208,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 12:45"
5893,"EUROCARGO CATANIA",11208,"DISORMEGGIO PER PARTENZA",23,"2018-03-22 23:45"
5893,"EUROCARGO CATANIA",11208,"NAVE FUORI VISTA",26,"2018-03-23 00:15"
5893,"EUROCARGO CATANIA",11208,"NAVE IN ENTRATA",14,"2018-03-22 12:50"
5893,"EUROCARGO CATANIA",11208,"ORMEGGIO NAVE",17,"2018-03-22 13:30"
5894,"MSC GIANNINA",13087,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 14:45"
5894,"MSC GIANNINA",13087,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 12:06"
5894,"MSC GIANNINA",13087,"NAVE FUORI VISTA",26,"2018-03-23 13:06"
5894,"MSC GIANNINA",13087,"NAVE IN ENTRATA",14,"2018-03-22 15:05"
5894,"MSC GIANNINA",13087,"ORMEGGIO NAVE",17,"2018-03-22 16:00"
5904,"ANGELA",13275,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 17:12"
5904,"ANGELA",13275,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 04:12"
5904,"ANGELA",13275,"NAVE FUORI VISTA",26,"2018-03-23 05:06"
5904,"ANGELA",13275,"NAVE IN ENTRATA",14,"2018-03-22 17:45"
5904,"ANGELA",13275,"ORMEGGIO NAVE",17,"2018-03-22 18:43"
5905,"NACIYE K",14538,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 17:45"
5905,"NACIYE K",14538,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 21:10"
5905,"NACIYE K",14538,"NAVE FUORI VISTA",26,"2018-03-23 21:45"
5905,"NACIYE K",14538,"NAVE IN ENTRATA",14,"2018-03-22 18:35"
5905,"NACIYE K",14538,"ORMEGGIO NAVE",17,"2018-03-22 19:35"
5906,"BIANCA AMORETTI",11276,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 18:48"
5906,"BIANCA AMORETTI",11276,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 13:18"
5906,"BIANCA AMORETTI",11276,"NAVE FUORI VISTA",26,"2018-03-23 14:25"
5906,"BIANCA AMORETTI",11276,"NAVE IN ENTRATA",14,"2018-03-22 19:30"
5906,"BIANCA AMORETTI",11276,"ORMEGGIO NAVE",17,"2018-03-22 20:50"
5909,"RAINBOW ISLAND 88",14543,"ANCORAGGIO IN RADA",16,"2018-03-22 21:30"
5909,"RAINBOW ISLAND 88",14543,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 21:00"
5909,"RAINBOW ISLAND 88",14543,"DA RADA A ORMEGGIO",20,"2018-03-23 08:25"
5909,"RAINBOW ISLAND 88",14543,"DISORMEGGIO PER PARTENZA",23,"2018-03-25 03:00"
5909,"RAINBOW ISLAND 88",14543,"NAVE FUORI VISTA",26,"2018-03-25 03:00"
5910,"PAPUA",14494,"ANCORAGGIO IN RADA",16,"2018-03-22 22:10"
5910,"PAPUA",14494,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 22:10"
5910,"PAPUA",14494,"DA RADA A ORMEGGIO",20,"2018-03-23 18:55"
5910,"PAPUA",14494,"DISORMEGGIO PER PARTENZA",23,"2018-03-27 03:10"
5910,"PAPUA",14494,"NAVE FUORI VISTA",26,"2018-03-27 03:55"
5911,"ORIENTAL JASMINE",14552,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-23 03:12"
5911,"ORIENTAL JASMINE",14552,"DA ORMEGGIO A RADA",19,"2018-03-25 05:18"
5911,"ORIENTAL JASMINE",14552,"NAVE FUORI VISTA",26,"2018-03-25 20:42"
5911,"ORIENTAL JASMINE",14552,"NAVE IN ENTRATA",14,"2018-03-23 05:25"
5911,"ORIENTAL JASMINE",14552,"ORMEGGIO NAVE",17,"2018-03-23 06:18"
5911,"ORIENTAL JASMINE",14552,"PARTENZA DA RADA",25,"2018-03-25 20:40"
5912,"ABB VANESSA",13309,"ANCORAGGIO IN RADA",16,"2018-03-22 22:35"
5912,"ABB VANESSA",13309,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 22:35"
5912,"ABB VANESSA",13309,"DA RADA A ORMEGGIO",20,"2018-03-23 08:15"
5912,"ABB VANESSA",13309,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 18:25"
5912,"ABB VANESSA",13309,"NAVE FUORI VISTA",26,"2018-03-23 19:45"
5913,"GRANDE DETROIT",13199,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-23 06:42"
5913,"GRANDE DETROIT",13199,"DISORMEGGIO PER PARTENZA",23,"2018-03-24 00:35"
5913,"GRANDE DETROIT",13199,"NAVE FUORI VISTA",26,"2018-03-24 01:25"
5913,"GRANDE DETROIT",13199,"NAVE IN ENTRATA",14,"2018-03-23 06:50"
5913,"GRANDE DETROIT",13199,"ORMEGGIO NAVE",17,"2018-03-23 08:20"
5914,"WILSON CLYDE",14546,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-23 07:00"
5914,"WILSON CLYDE",14546,"DISORMEGGIO PER PARTENZA",23,"2018-03-23 23:30"
5914,"WILSON CLYDE",14546,"NAVE FUORI VISTA",26,"2018-03-23 23:59"
5914,"WILSON CLYDE",14546,"NAVE IN ENTRATA",14,"2018-03-23 08:05"
5914,"WILSON CLYDE",14546,"ORMEGGIO NAVE",17,"2018-03-23 08:45"
5915,"WARNOW MOON",14513,"ANCORAGGIO IN RADA",16,"2018-03-22 23:00"
5915,"WARNOW MOON",14513,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-22 22:40"
5915,"WARNOW MOON",14513,"DA RADA A ORMEGGIO",20,"2018-03-24 20:10"
5915,"WARNOW MOON",14513,"DISORMEGGIO PER PARTENZA",23,"2018-03-25 17:40"
5915,"WARNOW MOON",14513,"NAVE FUORI VISTA",26,"2018-03-25 18:25"
5943,"BF PHILIPP",13011,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-23 12:42"
5943,"BF PHILIPP",13011,"DISORMEGGIO PER PARTENZA",23,"2018-03-24 02:00"
5943,"BF PHILIPP",13011,"NAVE FUORI VISTA",26,"2018-03-24 02:45"
5943,"BF PHILIPP",13011,"NAVE IN ENTRATA",14,"2018-03-23 13:40"
5943,"BF PHILIPP",13011,"ORMEGGIO NAVE",17,"2018-03-23 14:30"
5964,"SHARPNES",14551,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-23 16:30"
5964,"SHARPNES",14551,"DISORMEGGIO PER PARTENZA",23,"2018-03-26 01:30"
5964,"SHARPNES",14551,"NAVE FUORI VISTA",26,"2018-03-26 02:25"
5964,"SHARPNES",14551,"NAVE IN ENTRATA",14,"2018-03-23 16:45"
5964,"SHARPNES",14551,"ORMEGGIO NAVE",17,"2018-03-23 18:12"
5978,"GALATEA",13117,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-23 17:18"
5978,"GALATEA",13117,"DISORMEGGIO PER PARTENZA",23,"2018-03-24 21:24"
5978,"GALATEA",13117,"NAVE FUORI VISTA",26,"2018-03-24 22:05"
5978,"GALATEA",13117,"NAVE IN ENTRATA",14,"2018-03-23 18:45"
5978,"GALATEA",13117,"ORMEGGIO NAVE",17,"2018-03-23 19:54"
5983,"LIETTA",14547,"ANCORAGGIO IN RADA",16,"2018-03-23 22:30"
5983,"LIETTA",14547,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-23 22:30"
5983,"LIETTA",14547,"DA RADA A ORMEGGIO",20,"2018-03-27 16:15"
5983,"LIETTA",14547,"DISORMEGGIO PER PARTENZA",23,"2018-03-29 18:18"
5983,"LIETTA",14547,"NAVE FUORI VISTA",26,"2018-03-29 19:25"
5984,"WESTERN PARIS",14533,"ANCORAGGIO IN RADA",16,"2018-03-23 21:36"
5984,"WESTERN PARIS",14533,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-23 21:36"
5984,"WESTERN PARIS",14533,"DA RADA A ORMEGGIO",20,"2018-03-24 07:00"
5984,"WESTERN PARIS",14533,"DISORMEGGIO PER PARTENZA",23,"2018-03-28 09:12"
5984,"WESTERN PARIS",14533,"NAVE FUORI VISTA",26,"2018-03-28 10:00"
5991,"EUROCARGO SICILIA",10955,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-24 16:25"
5991,"EUROCARGO SICILIA",10955,"DISORMEGGIO PER PARTENZA",23,"2018-03-25 13:00"
5991,"EUROCARGO SICILIA",10955,"NAVE FUORI VISTA",26,"2018-03-25 13:30"
5991,"EUROCARGO SICILIA",10955,"NAVE IN ENTRATA",14,"2018-03-24 16:35"
5991,"EUROCARGO SICILIA",10955,"ORMEGGIO NAVE",17,"2018-03-24 17:20"
5992,"CANOPUS",14557,"ANCORAGGIO IN RADA",16,"2018-03-24 16:35"
5992,"CANOPUS",14557,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-24 16:35"
5992,"CANOPUS",14557,"DA RADA A ORMEGGIO",20,"2018-03-25 06:50"
5992,"CANOPUS",14557,"DISORMEGGIO PER PARTENZA",23,"2018-03-27 19:05"
5992,"CANOPUS",14557,"NAVE FUORI VISTA",26,"2018-03-27 19:40"
5996,"MEHMET KAHVECI A",13198,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 00:01"
5996,"MEHMET KAHVECI A",13198,"DISORMEGGIO PER PARTENZA",23,"2018-03-25 10:20"
5996,"MEHMET KAHVECI A",13198,"NAVE FUORI VISTA",26,"2018-03-25 11:20"
5996,"MEHMET KAHVECI A",13198,"NAVE IN ENTRATA",14,"2018-03-25 00:30"
5996,"MEHMET KAHVECI A",13198,"ORMEGGIO NAVE",17,"2018-03-25 01:35"
5997,"ASIATIC MOON",13068,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 03:30"
5997,"ASIATIC MOON",13068,"DISORMEGGIO PER PARTENZA",23,"2018-03-25 18:00"
5997,"ASIATIC MOON",13068,"NAVE FUORI VISTA",26,"2018-03-25 18:55"
5997,"ASIATIC MOON",13068,"NAVE IN ENTRATA",14,"2018-03-25 03:40"
5997,"ASIATIC MOON",13068,"ORMEGGIO NAVE",17,"2018-03-25 04:42"
5998,"LUCY BORCHARD",13230,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 05:45"
5998,"LUCY BORCHARD",13230,"DISORMEGGIO PER PARTENZA",23,"2018-03-25 19:15"
5998,"LUCY BORCHARD",13230,"NAVE FUORI VISTA",26,"2018-03-25 20:15"
5998,"LUCY BORCHARD",13230,"NAVE IN ENTRATA",14,"2018-03-25 06:35"
5998,"LUCY BORCHARD",13230,"ORMEGGIO NAVE",17,"2018-03-25 07:30"
5999,"BELASITZA",13776,"ANCORAGGIO IN RADA",16,"2018-03-25 00:42"
5999,"BELASITZA",13776,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 00:42"
5999,"BELASITZA",13776,"DA RADA A ORMEGGIO",20,"2018-03-26 07:10"
5999,"BELASITZA",13776,"DISORMEGGIO PER PARTENZA",23,"2018-03-27 22:40"
5999,"BELASITZA",13776,"NAVE FUORI VISTA",26,"2018-03-27 23:30"
6000,"PGC TAORMINA",14349,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 07:30"
6000,"PGC TAORMINA",14349,"DISORMEGGIO PER PARTENZA",23,"2018-03-26 13:18"
6000,"PGC TAORMINA",14349,"NAVE FUORI VISTA",26,"2018-03-26 13:50"
6000,"PGC TAORMINA",14349,"NAVE IN ENTRATA",14,"2018-03-25 09:00"
6000,"PGC TAORMINA",14349,"ORMEGGIO NAVE",17,"2018-03-25 10:12"
6001,"IEVOLI BLUE",10100,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 08:00"
6001,"IEVOLI BLUE",10100,"DISORMEGGIO PER PARTENZA",23,"2018-03-26 19:15"
6001,"IEVOLI BLUE",10100,"NAVE FUORI VISTA",26,"2018-03-26 19:50"
6001,"IEVOLI BLUE",10100,"NAVE IN ENTRATA",14,"2018-03-25 08:25"
6001,"IEVOLI BLUE",10100,"ORMEGGIO NAVE",17,"2018-03-25 09:00"
6002,"HENDA",14328,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 10:00"
6002,"HENDA",14328,"DISORMEGGIO PER PARTENZA",23,"2018-03-26 08:48"
6002,"HENDA",14328,"NAVE FUORI VISTA",26,"2018-03-26 09:30"
6002,"HENDA",14328,"NAVE IN ENTRATA",14,"2018-03-25 10:30"
6002,"HENDA",14328,"ORMEGGIO NAVE",17,"2018-03-25 11:54"
6005,"USICHEM",14569,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 15:30"
6005,"USICHEM",14569,"DISORMEGGIO PER PARTENZA",23,"2018-03-27 20:30"
6005,"USICHEM",14569,"NAVE FUORI VISTA",26,"2018-03-27 21:12"
6005,"USICHEM",14569,"NAVE IN ENTRATA",14,"2018-03-25 16:15"
6005,"USICHEM",14569,"ORMEGGIO NAVE",17,"2018-03-25 16:45"
6012,"CS CIHAN",14568,"ANCORAGGIO IN RADA",16,"2018-03-25 16:40"
6012,"CS CIHAN",14568,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 16:15"
6012,"CS CIHAN",14568,"DA RADA A ORMEGGIO",20,"2018-03-27 10:50"
6012,"CS CIHAN",14568,"DISORMEGGIO PER PARTENZA",23,"2018-04-07 21:40"
6012,"CS CIHAN",14568,"NAVE FUORI VISTA",26,"2018-04-07 22:30"
6014,"LADY MARY",14571,"ANCORAGGIO IN RADA",16,"2018-03-25 16:30"
6014,"LADY MARY",14571,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 16:30"
6014,"LADY MARY",14571,"DA RADA A ORMEGGIO",20,"2018-03-28 20:45"
6014,"LADY MARY",14571,"DISORMEGGIO PER PARTENZA",23,"2018-03-30 13:20"
6014,"LADY MARY",14571,"NAVE FUORI VISTA",26,"2018-03-30 14:00"
6015,"NS SPIRIT",13412,"ANCORAGGIO IN RADA",16,"2018-03-25 18:05"
6015,"NS SPIRIT",13412,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 18:05"
6015,"NS SPIRIT",13412,"DA RADA A ORMEGGIO",20,"2018-03-26 07:00"
6015,"NS SPIRIT",13412,"DISORMEGGIO PER PARTENZA",23,"2018-03-26 18:50"
6015,"NS SPIRIT",13412,"NAVE FUORI VISTA",26,"2018-03-26 19:20"
6017,"IASOS",14159,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-26 04:30"
6017,"IASOS",14159,"DISORMEGGIO PER PARTENZA",23,"2018-03-28 23:00"
6017,"IASOS",14159,"NAVE FUORI VISTA",26,"2018-03-29 00:05"
6017,"IASOS",14159,"NAVE IN ENTRATA",14,"2018-03-26 07:40"
6017,"IASOS",14159,"ORMEGGIO NAVE",17,"2018-03-26 08:50"
6018,"BERGFJORD",13107,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-26 02:30"
6018,"BERGFJORD",13107,"DISORMEGGIO PER PARTENZA",23,"2018-04-06 19:00"
6018,"BERGFJORD",13107,"NAVE FUORI VISTA",26,"2018-04-06 19:25"
6018,"BERGFJORD",13107,"NAVE IN ENTRATA",14,"2018-03-26 08:35"
6018,"BERGFJORD",13107,"ORMEGGIO NAVE",17,"2018-03-26 09:35"
6019,"BRODOSPAS ALFA",11465,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-26 07:00"
6019,"BRODOSPAS ALFA",11465,"DISORMEGGIO PER PARTENZA",23,"2018-03-26 20:30"
6019,"BRODOSPAS ALFA",11465,"NAVE FUORI VISTA",26,"2018-03-26 21:00"
6019,"BRODOSPAS ALFA",11465,"NAVE IN ENTRATA",14,"2018-03-26 07:15"
6019,"BRODOSPAS ALFA",11465,"ORMEGGIO NAVE",17,"2018-03-26 07:45"
6020,"IEVOLI GREY",13585,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-26 06:00"
6020,"IEVOLI GREY",13585,"DISORMEGGIO PER PARTENZA",23,"2018-03-26 17:45"
6020,"IEVOLI GREY",13585,"NAVE FUORI VISTA",26,"2018-03-26 18:10"
6020,"IEVOLI GREY",13585,"NAVE IN ENTRATA",14,"2018-03-26 06:15"
6020,"IEVOLI GREY",13585,"ORMEGGIO NAVE",17,"2018-03-26 06:45"
6021,"MSC MARYLENA",13234,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-03-25 19:00"
6021,"MSC MARYLENA",13234,"DISORMEGGIO PER PARTENZA",23,"2018-03-26 14:12"
6021,"MSC MARYLENA",13234,"NAVE FUORI VISTA",26,"2018-03-26 15:00"
6021,"MSC MARYLENA",13234,"NAVE IN ENTRATA",14,"2018-03-25 20:40"
