3076,"LORD JOY",13884,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 14:55"
3076,"LORD JOY",13884,"NAVE FUORI VISTA",26,"2018-01-02 15:30"
3135,"EAGLE TRADER",13915,"DA RADA A ORMEGGIO",20,"2018-01-19 08:20"
3135,"EAGLE TRADER",13915,"DISORMEGGIO PER PARTENZA",23,"2018-01-27 16:22"
3135,"EAGLE TRADER",13915,"NAVE FUORI VISTA",26,"2018-01-27 17:25"
3193,"NAZIM BEY",13924,"DA RADA A ORMEGGIO",20,"2018-01-02 08:05"
3193,"NAZIM BEY",13924,"DISORMEGGIO PER PARTENZA",23,"2018-01-03 13:40"
3193,"NAZIM BEY",13924,"NAVE FUORI VISTA",26,"2018-01-03 14:15"
3195,"KOZNITZA",13925,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-05 22:15"
3195,"KOZNITZA",13925,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-13 12:40"
3195,"KOZNITZA",13925,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-13 12:41"
3195,"KOZNITZA",13925,"DA RADA A ORMEGGIO",20,"2018-01-04 07:30"
3195,"KOZNITZA",13925,"DISORMEGGIO PER PARTENZA",23,"2018-01-16 23:59"
3195,"KOZNITZA",13925,"NAVE FUORI VISTA",26,"2018-01-17 00:25"
3199,"OSMAN GAZI",13926,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-05 15:15"
3199,"OSMAN GAZI",13926,"DA RADA A ORMEGGIO",20,"2018-01-02 10:55"
3199,"OSMAN GAZI",13926,"DISORMEGGIO PER PARTENZA",23,"2018-01-09 07:10"
3199,"OSMAN GAZI",13926,"NAVE FUORI VISTA",26,"2018-01-09 08:05"
3231,"EUROCARGO CATANIA",11208,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 19:40"
3231,"EUROCARGO CATANIA",11208,"NAVE FUORI VISTA",26,"2018-01-02 20:10"
3234,"IVS SHIKRA",13934,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-05 07:00"
3234,"IVS SHIKRA",13934,"DA RADA A ORMEGGIO",20,"2018-01-02 08:40"
3234,"IVS SHIKRA",13934,"DISORMEGGIO PER PARTENZA",23,"2018-01-11 13:00"
3234,"IVS SHIKRA",13934,"NAVE FUORI VISTA",26,"2018-01-11 14:05"
3235,"GERTRUDE OLDENDORFF",13836,"DA RADA A ORMEGGIO",20,"2018-01-04 11:15"
3235,"GERTRUDE OLDENDORFF",13836,"DISORMEGGIO PER PARTENZA",23,"2018-01-06 13:24"
3235,"GERTRUDE OLDENDORFF",13836,"NAVE FUORI VISTA",26,"2018-01-06 14:00"
3236,"CALYPSO",13936,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 17:00"
3236,"CALYPSO",13936,"NAVE FUORI VISTA",26,"2018-01-02 17:50"
3237,"VOLA",13935,"DA RADA A ORMEGGIO",20,"2018-01-04 09:55"
3237,"VOLA",13935,"DISORMEGGIO PER PARTENZA",23,"2018-01-05 19:15"
3237,"VOLA",13935,"NAVE FUORI VISTA",26,"2018-01-05 20:00"
3238,"YARA SELA",13937,"DISORMEGGIO PER PARTENZA",23,"2018-01-01 22:00"
3238,"YARA SELA",13937,"NAVE FUORI VISTA",26,"2018-01-01 22:35"
3239,"GEIRANGER",13938,"DA RADA A ORMEGGIO",20,"2018-01-04 15:10"
3239,"GEIRANGER",13938,"DISORMEGGIO PER PARTENZA",23,"2018-01-05 00:55"
3239,"GEIRANGER",13938,"NAVE FUORI VISTA",26,"2018-01-05 02:10"
